TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2,flux_n,flux_n-median
2061.33,0.0,95548,45664.09,6.8,3026.47,1.48,48493.09,7.11,0,782.58,0.0,146.46,0.0,782.65,0.0,146.48,0.0,-0.72,0.65,0.01194571791703325,-0.49220973514832167
2061.35,0.0,95549,45716.02,6.81,3026.92,1.48,48489.65,7.12,0,782.59,0.0,146.46,0.0,782.66,0.0,146.48,0.0,-0.72,0.64,0.011566523770733639,-0.4925889292946213
2061.37,0.0,95550,45679.64,6.81,3024.16,1.49,48512.43,7.11,0,782.58,0.0,146.46,0.0,782.65,0.0,146.48,0.0,-0.73,0.64,0.014077582681410128,-0.4900778703839448
2061.39,0.0,95551,45692.21,6.81,3024.36,1.49,48508.63,7.12,0,782.58,0.0,146.46,0.0,782.65,0.0,146.48,0.0,-0.72,0.65,0.013658705426775164,-0.49049674763857976
2061.41,0.0,95552,45731.45,6.81,3030.87,1.48,48544.64,7.12,0,782.59,0.0,146.46,0.0,782.65,0.0,146.48,0.0,-0.72,0.65,0.017628118568718598,-0.4865273344966363
2061.43,0.0,95553,45775.77,6.81,3030.29,1.48,48602.09,7.12,0,782.59,0.0,146.46,0.0,782.66,0.0,146.48,0.0,-0.72,0.65,0.023960881273651147,-0.4801945717917038
2061.45,0.0,95554,46319.35,6.87,3008.37,1.49,48836.27,,1048576,783.25,0.0,146.18,0.0,783.11,0.0,146.11,0.0,-0.19,0.26,0.04977474324477704,-0.4543807098205779
2061.47,0.0,95555,46826.11,6.9,3010.07,1.49,49070.45,7.27,0,783.3,0.0,146.13,0.0,783.2,0.0,146.04,0.0,-0.13,0.19,0.07558860521590383,-0.4285668478494511
2061.49,0.0,95556,46871.19,6.9,3010.44,1.48,49150.08,7.27,0,783.3,0.0,146.12,0.0,783.2,0.0,146.03,0.0,-0.13,0.18,0.08436628831762416,-0.41978916474773076
2061.51,0.0,95557,46922.27,6.9,3007.06,1.49,49214.49,7.28,0,783.3,0.0,146.12,0.0,783.2,0.0,146.03,0.0,-0.13,0.18,0.09146625778367667,-0.41268919528167824
2061.53,0.0,95558,46958.69,6.9,3010.77,1.48,49240.32,7.28,0,783.3,0.0,146.12,0.0,783.2,0.0,146.04,0.0,-0.13,0.19,0.09431352080662592,-0.409841932258729
2061.55,0.0,95559,47042.13,6.91,3006.27,1.49,49279.78,7.28,0,783.3,0.0,146.14,0.0,783.19,0.0,146.05,0.0,-0.13,0.2,0.09866323040343428,-0.40549222266192064
2061.57,0.0,95560,47108.31,6.91,3005.98,1.49,49337.05,7.28,0,783.3,0.0,146.14,0.0,783.2,0.0,146.05,0.0,-0.13,0.2,0.10497615155420092,-0.399179301511154
